,precision,recall,f1-score,support
Achromobacter,0.6179245283018868,0.4055727554179567,0.4897196261682243,323.0
Acidaminococcus,0.6079545454545454,0.5144230769230769,0.5572916666666666,2288.0
Acinetobacter,0.4832116788321168,0.25286478227654696,0.3319959879638917,1309.0
Actinomyces,0.5970853858784894,0.49489622320517185,0.5412093023255814,5878.0
Adlercreutzia,0.576271186440678,0.10303030303030303,0.17480719794344474,330.0
Aeromonas,0.5340314136125655,0.31097560975609756,0.3930635838150289,328.0
Akkermansia,0.5225225225225225,0.2654462242562929,0.3520485584218513,1311.0
Alistipes,0.6475694444444444,0.605322947095099,0.6257339372588492,12324.0
Anaerococcus,0.49113475177304966,0.37802797679972705,0.42722190090611145,2931.0
Anaerofustis,0.4672131147540984,0.178125,0.2579185520361991,320.0
Anaeromassilibacillus,0.3715277777777778,0.10974358974358975,0.16943784639746634,975.0
Anaerosporobacter,0.41379310344827586,0.03560830860534125,0.06557377049180328,337.0
Anaerostipes,0.5,0.006230529595015576,0.012307692307692308,321.0
Anaerotignum,0.6091954022988506,0.3322884012539185,0.4300202839756592,319.0
Anaerotruncus,0.6097271648873073,0.3950807071483474,0.47947761194029853,1301.0
Atopobium,0.7222222222222222,0.4647599591419816,0.5655686761963953,979.0
Azospirillum,0.5221382289416847,0.4953893442622951,0.5084121976866456,1952.0
Bacillus,0.2829036635006784,0.23231197771587744,0.25512389109819517,3590.0
Bacteroides,0.47035285558384865,0.6022590536816365,0.5281952647614508,25763.0
Barnesiella,0.5517241379310345,0.36102564102564105,0.43645381277123374,975.0
Bifidobacterium,0.5818476499189628,0.4736147757255937,0.5221818181818182,4548.0
Blastococcus,0.5602094240837696,0.3292307692307692,0.41472868217054265,325.0
Blautia,0.4085384855095045,0.5262946607788037,0.46,14946.0
Brachyspira,0.7518796992481203,0.6230529595015576,0.6814310051107325,321.0
Brevibacterium,0.6424242424242425,0.33125,0.43711340206185567,320.0
Butyricicoccus,0.5095744680851064,0.41815800960279353,0.4593622632462239,2291.0
Butyricimonas,0.5099685204616999,0.49846153846153846,0.504149377593361,1950.0
Butyrivibrio,0.44594594594594594,0.1697530864197531,0.2459016393442623,972.0
Campylobacter,0.685909373060211,0.68,0.6829419035846724,1625.0
Catenibacterium,0.6546242774566474,0.4694300518134715,0.5467712733856367,965.0
Cellulomonas,0.7087719298245614,0.6352201257861635,0.6699834162520729,318.0
Citrobacter,0.2884990253411306,0.15416666666666667,0.20095044127630685,960.0
Cloacibacillus,0.7204724409448819,0.5604900459418071,0.6304909560723514,653.0
Clostridium,0.5358807293787612,0.7605394124257505,0.6287443428404581,62290.0
Collinsella,0.8586042668999369,0.9319120879120879,0.8937574827580392,113750.0
Coprobacillus,0.37142857142857144,0.039634146341463415,0.07162534435261708,328.0
Coprococcus,0.5627240143369175,0.23981670061099797,0.33630846126383435,1964.0
Corynebacterium,0.5522648083623694,0.320525783619818,0.4056301983365323,2967.0
Cryptobacterium,0.3,0.004615384615384616,0.00909090909090909,650.0
Desulfovibrio,0.5902906097765832,0.59782238856754,0.5940326261516355,5878.0
Dialister,0.5487714072970961,0.3995301770870979,0.46240719439506434,5534.0
Dorea,0.33815551537070526,0.08216168717047452,0.13220219158713326,2276.0
Dysgonomonas,0.30422535211267604,0.08188021228203184,0.12903225806451613,1319.0
Edwardsiella,0.45302013422818793,0.20801232665639446,0.28511087645195354,649.0
Eggerthella,0.5146763901549681,0.4322462103812586,0.4698735019973369,6531.0
Enterobacter,0.39310747663551404,0.3444216990788127,0.36715766503000546,1954.0
Enterococcus,0.4533049040511727,0.3634188034188034,0.40341555977229604,2925.0
Eubacterium,0.41405550581915845,0.294492199936326,0.34418604651162793,9423.0
Exiguobacterium,0.648870636550308,0.4869029275808937,0.5563380281690141,649.0
Faecalibacterium,0.6011871113623516,0.5036703765095903,0.5481252415925782,4223.0
Finegoldia,0.44086021505376344,0.042443064182194616,0.07743153918791312,966.0
Flavobacterium,0.38202247191011235,0.10303030303030303,0.162291169451074,330.0
Franconibacter,0.47398843930635837,0.25386996904024767,0.33064516129032256,323.0
Fusobacterium,0.5418915747477118,0.5439340400471142,0.542910886433106,8490.0
Garciella,0.35947712418300654,0.1687116564417178,0.22964509394572025,326.0
Gemella,0.2727272727272727,0.009259259259259259,0.01791044776119403,324.0
Gemmiger,0.6223776223776224,0.28802588996763756,0.3938053097345133,309.0
Granulicatella,0.5346534653465347,0.384928716904277,0.44760213143872113,982.0
Halomonas,0.6347305389221557,0.3271604938271605,0.4317718940936864,324.0
Helicobacter,0.6374927787406124,0.7597246127366609,0.6932621328726245,2905.0
Klebsiella,0.409726443768997,0.34564102564102567,0.3749652294853964,1950.0
Lachnobacterium,0.37971175166297116,0.160158989946224,0.22529189278079265,4277.0
Lachnoclostridium,0.0,0.0,0.0,325.0
Lachnospira,0.49517684887459806,0.3964984552008239,0.4403774663997712,1942.0
Lactobacillus,0.48761556899897274,0.523978903471115,0.5051436679673643,8153.0
Leuconostoc,0.398576512455516,0.22833843017329256,0.29034348671419313,981.0
Listeria,0.3409090909090909,0.09174311926605505,0.14457831325301204,327.0
Marvinbryantia,0.4444444444444444,0.08383233532934131,0.14105793450881612,334.0
Massiliomicrobiota,0.5584415584415584,0.1365079365079365,0.2193877551020408,315.0
Megamonas,0.5160642570281124,0.26224489795918365,0.34776725304465494,980.0
Megasphaera,0.5988098189933052,0.5679680150517403,0.5829812914906457,4252.0
Morganella,0.4870848708487085,0.41379310344827586,0.44745762711864406,319.0
Negativicoccus,0.5296442687747036,0.41875,0.4677137870855148,320.0
Neisseria,0.6888888888888889,0.38509316770186336,0.4940239043824701,322.0
Nesterenkonia,0.6226415094339622,0.30368098159509205,0.40824742268041236,326.0
Odoribacter,0.4380305602716469,0.3381389252948886,0.3816568047337278,2289.0
Olsenella,0.6402157164869029,0.2831345826235094,0.3926293408929837,2935.0
Oribacterium,0.6782178217821783,0.40532544378698226,0.5074074074074074,338.0
Oscillibacter,0.6507344880508661,0.6058379261073689,0.6274841437632135,4899.0
Oxalobacter,0.42398286937901497,0.3013698630136986,0.35231316725978645,657.0
Paenibacillus,0.459546925566343,0.21947449768160743,0.29707112970711297,647.0
Pantoea,0.503800217155266,0.35555555555555557,0.4168912848158131,1305.0
Parabacteroides,0.4283367556468172,0.20069270733115258,0.27332285115303984,5197.0
Paraprevotella,0.5,0.03828483920367534,0.07112375533428165,1306.0
Pediococcus,0.5748031496062992,0.22188449848024316,0.3201754385964912,329.0
Pelosinus,0.4716981132075472,0.18768768768768768,0.26852846401718583,666.0
Peptoniphilus,0.5794655414908579,0.41983695652173914,0.48690171361039986,2944.0
Peptostreptococcus,0.0,0.0,0.0,323.0
Phascolarctobacterium,0.591715976331361,0.5961538461538461,0.5939266213238816,5200.0
Phyllobacterium,0.4576271186440678,0.1656441717791411,0.24324324324324326,326.0
Porphyromonas,0.8172309386182218,0.7612820512820513,0.788264967476437,3900.0
Prevotella,0.6249919856382637,0.6583817371335945,0.6412525079761866,29612.0
Propionibacterium,0.48223350253807107,0.29411764705882354,0.36538461538461536,646.0
Propionimicrobium,0.5238095238095238,0.20625,0.29596412556053814,320.0
Proteus,0.42592592592592593,0.07255520504731862,0.12398921832884097,317.0
Providencia,0.4390771449170872,0.3724770642201835,0.40304434149569823,1635.0
Pseudobutyrivibrio,0.5245901639344263,0.1,0.1679790026246719,640.0
Pseudomonas,0.5542725173210161,0.37383177570093457,0.44651162790697674,1284.0
Ralstonia,0.5180722891566265,0.1303030303030303,0.20823244552058112,330.0
Robinsoniella,0.3575757575757576,0.045141545524101,0.08016304347826086,1307.0
Roseburia,0.33531377645748234,0.18481375358166188,0.23829001187491752,4886.0
Rothia,0.6129032258064516,0.17757009345794392,0.2753623188405797,321.0
Ruminococcus,0.49715009499683344,0.5277310924369748,0.5119843469753791,20825.0
Sanguibacteroides,0.373134328358209,0.07716049382716049,0.1278772378516624,324.0
Selenomonas,0.6728558797524314,0.47267080745341616,0.5552717986136446,1610.0
Slackia,0.5260915867944622,0.25165562913907286,0.3404548587181254,1963.0
Sneathia,1.0,0.003125,0.006230529595015576,320.0
Solobacterium,0.4444190650220801,0.4970620795367453,0.469268802508341,11743.0
Sporolactobacillus,0.38636363636363635,0.1021021021021021,0.16152019002375298,333.0
Staphylococcus,0.41012396694214875,0.24445812807881773,0.30632716049382713,1624.0
Streptococcus,0.5573588569843252,0.5846915017462165,0.5706981038278531,6872.0
Streptomyces,0.5321888412017167,0.38509316770186336,0.44684684684684683,322.0
Subdoligranulum,0.6326530612244898,0.3150406504065041,0.4206241519674355,984.0
Succinatimonas,0.6273115220483642,0.45463917525773195,0.5271966527196653,970.0
Succiniclasticum,0.5675,0.35330739299610897,0.4354916067146283,1285.0
Sutterella,0.5808469682386911,0.5316009689495705,0.5551339542370932,9082.0
Treponema,0.6015100671140939,0.5540958268933539,0.5768302493966211,1294.0
Veillonella,0.5904890969570038,0.6695069143735158,0.6275202932704896,7159.0
Weissella,0.40540540540540543,0.047021943573667714,0.08426966292134831,319.0
Xylanibacter,0.5373134328358209,0.05521472392638037,0.10013908205841446,652.0
accuracy,0.612004,0.612004,0.612004,0.612004
macro avg,0.5160215099756071,0.32954456662263365,0.3766836448922308,500000.0
weighted avg,0.6016115623756471,0.612004,0.5944603178900479,500000.0
